indicador,periodo,codigo_ine,valor,indice,categoria,no_agregar,texto
48,2015,43007,10434.00,0,,,
48,2016,43007,10724.00,0,,,
48,2017,43007,11761.00,0,,,
48,2018,43007,12139.00,0,,,
48,2019,43007,12119.00,0,,,
48,2020,43007,12424.00,0,,,
48,2021,43007,13183.00,0,,,
48,2022,43007,13848.00,0,,,
48,2023,43007,14915.00,0,,,
48,2015,43008,9657.00,0,,,
48,2016,43008,9492.00,0,,,
48,2017,43008,10211.00,0,,,
48,2018,43008,10664.00,0,,,
48,2019,43008,10938.00,0,,,
48,2020,43008,11340.00,0,,,
48,2021,43008,11664.00,0,,,
48,2022,43008,11989.00,0,,,
48,2023,43008,13301.00,0,,,
48,2015,43009,10710.00,0,,,
48,2016,43009,10849.00,0,,,
48,2017,43009,10270.00,0,,,
48,2018,43009,11808.00,0,,,
48,2019,43009,12619.00,0,,,
48,2020,43009,12559.00,0,,,
48,2021,43009,13171.00,0,,,
48,2022,43009,13604.00,0,,,
48,2023,43009,14758.00,0,,,
48,2015,43010,11274.00,0,,,
48,2016,43010,11022.00,0,,,
48,2017,43010,11699.00,0,,,
48,2018,43010,12275.00,0,,,
48,2019,43010,12104.00,0,,,
48,2020,43010,12143.00,0,,,
48,2021,43010,12345.00,0,,,
48,2022,43010,12668.00,0,,,
48,2023,43010,13318.00,0,,,
48,2015,43011,14773.00,0,,,
48,2016,43011,15600.00,0,,,
48,2017,43011,15970.00,0,,,
48,2018,43011,16484.00,0,,,
48,2019,43011,18079.00,0,,,
48,2020,43011,18724.00,11.60365059,,,
48,2021,43011,18906.00,19.51325511,,,
48,2022,43011,20157.00,73.88092134,,,
48,2023,43011,21788.00,100,,,
48,2015,43012,14004.00,0,,,
48,2016,43012,14506.00,0,,,
48,2017,43012,14843.00,0,,,
48,2018,43012,15346.00,0,,,
48,2019,43012,16263.00,0,,,
48,2020,43012,16173.00,0,,,
48,2021,43012,16919.00,0,,,
48,2022,43012,17972.00,0,,,
48,2023,43012,18943.00,21.12125163,,,
48,2015,43013,9829.00,0,,,
48,2016,43013,9698.00,0,,,
48,2017,43013,10198.00,0,,,
48,2018,43013,10954.00,0,,,
48,2019,43013,11638.00,0,,,
48,2020,43013,11519.00,0,,,
48,2021,43013,12282.00,0,,,
48,2022,43013,12900.00,0,,,
48,2023,43013,14378.00,0,,,
48,2015,43014,9355.00,0,,,
48,2016,43014,9646.00,0,,,
48,2017,43014,9965.00,0,,,
48,2018,43014,10465.00,0,,,
48,2019,43014,10820.00,0,,,
48,2020,43014,11056.00,0,,,
48,2021,43014,11312.00,0,,,
48,2022,43014,11804.00,0,,,
48,2023,43014,12513.00,0,,,
48,2015,43015,16119.00,0,,,
48,2016,43015,18796.00,14.7327249,,,
48,2017,43015,13990.00,0,,,
48,2018,43015,13559.00,0,,,
48,2019,43015,14310.00,0,,,
48,2020,43015,15726.00,0,,,
48,2021,43015,16055.00,0,,,
48,2022,43015,15530.00,0,,,
48,2023,43015,15875.00,0,,,
48,2015,43016,9700.00,0,,,
48,2016,43016,10159.00,0,,,
48,2017,43016,10563.00,0,,,
48,2018,43016,11034.00,0,,,
48,2019,43016,11348.00,0,,,
48,2020,43016,11482.00,0,,,
48,2021,43016,12139.00,0,,,
48,2022,43016,12493.00,0,,,
48,2023,43016,13200.00,0,,,
48,2015,43017,15862.00,0,,,
48,2016,43017,16066.00,0,,,
48,2017,43017,17305.00,0,,,
48,2018,43017,17245.00,0,,,
48,2019,43017,18391.00,0,,,
48,2020,43017,19603.00,49.80443286,,,
48,2021,43017,20821.00,100,,,
48,2022,43017,21796.00,100,,,
48,2023,43017,24143.00,100,,,
48,2015,43018,9278.00,0,,,
48,2016,43018,9551.00,0,,,
48,2017,43018,9722.00,0,,,
48,2018,43018,10353.00,0,,,
48,2019,43018,10729.00,0,,,
48,2020,43018,11447.00,0,,,
48,2021,43018,12112.00,0,,,
48,2022,43018,12609.00,0,,,
48,2023,43018,13655.00,0,,,
48,2015,43019,14602.00,0,,,
48,2016,43019,14327.00,0,,,
48,2017,43019,15041.00,0,,,
48,2018,43019,15787.00,0,,,
48,2019,43019,15565.00,0,,,
48,2020,43019,15625.00,0,,,
48,2021,43019,16222.00,0,,,
48,2022,43019,16458.00,0,,,
48,2023,43019,17677.00,0,,,
48,2015,43020,11007.00,0,,,
48,2016,43020,11398.00,0,,,
48,2017,43020,11854.00,0,,,
48,2018,43020,12197.00,0,,,
48,2019,43020,12815.00,0,,,
48,2020,43020,13073.00,0,,,
48,2021,43020,13692.00,0,,,
48,2022,43020,14273.00,0,,,
48,2023,43020,15249.00,0,,,
48,2015,43021,11495.00,0,,,
48,2016,43021,11550.00,0,,,
48,2017,43021,12182.00,0,,,
48,2018,43021,12883.00,0,,,
48,2019,43021,12980.00,0,,,
48,2020,43021,12209.00,0,,,
48,2021,43021,13052.00,0,,,
48,2022,43021,13949.00,0,,,
48,2023,43021,15297.00,0,,,
48,2015,43022,8756.00,0,,,
48,2016,43022,8525.00,0,,,
48,2017,43022,9164.00,0,,,
48,2018,43022,9385.00,0,,,
48,2019,43022,9992.00,0,,,
48,2020,43022,10134.00,0,,,
48,2021,43022,10176.00,0,,,
48,2022,43022,10999.00,0,,,
48,2023,43022,11670.00,0,,,
48,2015,43023,9557.00,0,,,
48,2016,43023,9690.00,0,,,
48,2017,43023,9797.00,0,,,
48,2018,43023,11020.00,0,,,
48,2019,43023,11433.00,0,,,
48,2020,43023,11456.00,0,,,
48,2021,43023,12206.00,0,,,
48,2022,43023,12302.00,0,,,
48,2023,43023,13458.00,0,,,
48,2015,43024,9341.00,0,,,
48,2016,43024,9559.00,0,,,
48,2017,43024,10095.00,0,,,
48,2018,43024,10348.00,0,,,
48,2019,43024,11202.00,0,,,
48,2020,43024,11401.00,0,,,
48,2021,43024,11877.00,0,,,
48,2022,43024,12585.00,0,,,
48,2023,43024,13474.00,0,,,
48,2015,43025,10110.00,0,,,
48,2016,43025,9868.00,0,,,
48,2017,43025,10489.00,0,,,
48,2018,43025,10808.00,0,,,
48,2019,43025,11192.00,0,,,
48,2020,43025,11716.00,0,,,
48,2021,43025,12154.00,0,,,
48,2022,43025,12639.00,0,,,
48,2023,43025,14154.00,0,,,
48,2015,43026,9593.00,0,,,
48,2016,43026,9698.00,0,,,
48,2017,43026,10134.00,0,,,
48,2018,43026,10561.00,0,,,
48,2019,43026,10999.00,0,,,
48,2020,43026,11339.00,0,,,
48,2021,43026,12035.00,0,,,
48,2022,43026,12368.00,0,,,
48,2023,43026,13049.00,0,,,
48,2015,43027,8273.00,0,,,
48,2016,43027,8789.00,0,,,
48,2017,43027,9301.00,0,,,
48,2018,43027,9537.00,0,,,
48,2019,43027,9338.00,0,,,
48,2020,43027,9795.00,0,,,
48,2021,43027,10517.00,0,,,
48,2022,43027,10675.00,0,,,
48,2023,43027,11033.00,0,,,
48,2015,43028,9735.00,0,,,
48,2016,43028,9939.00,0,,,
48,2017,43028,10476.00,0,,,
48,2018,43028,11215.00,0,,,
48,2019,43028,11743.00,0,,,
48,2020,43028,11778.00,0,,,
48,2021,43028,12075.00,0,,,
48,2022,43028,12541.00,0,,,
48,2023,43028,13410.00,0,,,
48,2015,43029,11309.00,0,,,
48,2016,43029,11889.00,0,,,
48,2017,43029,12666.00,0,,,
48,2018,43029,13391.00,0,,,
48,2019,43029,14380.00,0,,,
48,2020,43029,13324.00,0,,,
48,2021,43029,14035.00,0,,,
48,2022,43029,15045.00,0,,,
48,2023,43029,15791.00,0,,,
48,2015,43030,8660.00,0,,,
48,2016,43030,9221.00,0,,,
48,2017,43030,9797.00,0,,,
48,2018,43030,10364.00,0,,,
48,2019,43030,10959.00,0,,,
48,2020,43030,10726.00,0,,,
48,2021,43030,11336.00,0,,,
48,2022,43030,12501.00,0,,,
48,2023,43030,13199,0,,,
48,2015,43031,10634,0,,,
48,2016,43031,11325,0,,,
48,2017,43031,11491,0,,,
48,2018,43031,12065,0,,,
48,2019,43031,12847,0,,,
48,2020,43031,12319.00,0,,,
48,2021,43031,12830.00,0,,,
48,2022,43031,13382.00,0,,,
48,2023,43031,14243.00,0,,,
48,2015,43032,9827.00,0,,,
48,2016,43032,10187.00,0,,,
48,2017,43032,10247.00,0,,,
48,2018,43032,10415.00,0,,,
48,2019,43032,11101.00,0,,,
48,2020,43032,10934.00,0,,,
48,2021,43032,11476.00,0,,,
48,2022,43032,12184.00,0,,,
48,2023,43032,12995.00,0,,,
48,2015,43033,11836.00,0,,,
48,2016,43033,11890.00,0,,,
48,2017,43033,12391.00,0,,,
48,2018,43033,13457.00,0,,,
48,2019,43033,13635.00,0,,,
48,2020,43033,13312.00,0,,,
48,2021,43033,13985.00,0,,,
48,2022,43033,14529.00,0,,,
48,2023,43033,15430.00,0,,,
48,2015,43034,10789.00,0,,,
48,2016,43034,11152.00,0,,,
48,2017,43034,11825.00,0,,,
48,2018,43034,11869.00,0,,,
48,2019,43034,12843.00,0,,,
48,2020,43034,12501.00,0,,,
48,2021,43034,13362.00,0,,,
48,2022,43034,13867.00,0,,,
48,2023,43034,15041.00,0,,,
48,2015,43035,8541.00,0,,,
48,2016,43035,8742.00,0,,,
48,2017,43035,8838.00,0,,,
48,2018,43035,9155.00,0,,,
48,2019,43035,10053.00,0,,,
48,2020,43035,10316.00,0,,,
48,2021,43035,11161.00,0,,,
48,2022,43035,11988.00,0,,,
48,2023,43035,13074.00,0,,,
48,2015,43036,10120.00,0,,,
48,2016,43036,10184.00,0,,,
48,2017,43036,10518.00,0,,,
48,2018,43036,11439.00,0,,,
48,2019,43036,11911.00,0,,,
48,2020,43036,12245.00,0,,,
48,2021,43036,12233.00,0,,,
48,2022,43036,13012.00,0,,,
48,2023,43036,13479.00,0,,,
48,2015,43037,10588.00,0,,,
48,2016,43037,10774.00,0,,,
48,2017,43037,11070.00,0,,,
48,2018,43037,11510.00,0,,,
48,2019,43037,11942.00,0,,,
48,2020,43037,12045.00,0,,,
48,2021,43037,12757.00,0,,,
48,2022,43037,13298.00,0,,,
48,2023,43037,14148.00,0,,,
48,2015,43038,11503.00,0,,,
48,2016,43038,12002.00,0,,,
48,2017,43038,12294.00,0,,,
48,2018,43038,12717.00,0,,,
48,2019,43038,13076.00,0,,,
48,2020,43038,12988.00,0,,,
48,2021,43038,14012.00,0,,,
48,2022,43038,14671.00,0,,,
48,2023,43038,15716.00,0,,,
48,2015,43039,12306.00,0,,,
48,2016,43039,12587.00,0,,,
48,2018,43039,13422.00,0,,,
48,2019,43039,14029.00,0,,,
48,2020,43039,15365.00,0,,,
48,2021,43039,15556.00,0,,,
48,2022,43039,16799.00,0,,,
48,2023,43039,17356.00,0,,,
48,2015,43040,12436.00,0,,,
48,2016,43040,12496.00,0,,,
48,2017,43040,12831.00,0,,,
48,2018,43040,12610.00,0,,,
48,2019,43040,12556.00,0,,,
48,2020,43040,12962.00,0,,,
48,2021,43040,12994.00,0,,,
48,2022,43040,14364.00,0,,,
48,2023,43040,14682.00,0,,,
48,2015,43041,8511.00,0,,,
48,2016,43041,8458.00,0,,,
48,2017,43041,8873.00,0,,,
48,2018,43041,10650.00,0,,,
48,2019,43041,10878.00,0,,,
48,2020,43041,11205.00,0,,,
48,2021,43041,11069.00,0,,,
48,2022,43041,11847.00,0,,,
48,2023,43041,12384.00,0,,,
48,2015,43042,14017.00,0,,,
48,2016,43042,14766.00,0,,,
48,2017,43042,14759.00,0,,,
48,2018,43042,15490.00,0,,,
48,2019,43042,16502.00,0,,,
48,2020,43042,16628.00,0,,,
48,2021,43042,17394.00,0,,,
48,2022,43042,18764.00,13.34202521,,,
48,2023,43042,20268.00,78.70491091,,,
48,2015,43043,12834.00,0,,,
48,2016,43043,13221.00,0,,,
48,2017,43043,13921.00,0,,,
48,2018,43043,14422.00,0,,,
48,2019,43043,14972.00,0,,,
48,2020,43043,14852.00,0,,,
48,2021,43043,16001.00,0,,,
48,2022,43043,16578.00,0,,,
48,2023,43043,17845.00,0,,,
48,2015,43044,8678.00,0,,,
48,2016,43044,8800.00,0,,,
48,2017,43044,9195.00,0,,,
48,2018,43044,9616.00,0,,,
48,2019,43044,10160.00,0,,,
48,2020,43044,10819.00,0,,,
48,2021,43044,11377.00,0,,,
48,2022,43044,11655.00,0,,,
48,2023,43044,12333.00,0,,,
48,2015,43045,10868.00,0,,,
48,2016,43045,11093.00,0,,,
48,2017,43045,11788.00,0,,,
48,2018,43045,11653.00,0,,,
48,2019,43045,11884.00,0,,,
48,2020,43045,12002.00,0,,,
48,2021,43045,13398.00,0,,,
48,2022,43045,14055.00,0,,,
48,2023,43045,14508.00,0,,,
48,2015,43046,14084.00,0,,1,
48,2016,43046,15041.00,0,,,
48,2017,43046,15583.00,0,,,
48,2018,43046,16426.00,0,,,
48,2020,43046,14739.00,0,,,
48,2021,43046,14404.00,0,,,
48,2022,43046,13966.00,0,,,
48,2023,43046,15028.00,0,,,
48,2015,43047,9074.00,0,,,
48,2016,43047,9221.00,0,,,
48,2017,43047,9612.00,0,,,
48,2018,43047,10058.00,0,,,
48,2019,43047,10342.00,0,,,
48,2020,43047,10326.00,0,,,
48,2021,43047,10881.00,0,,,
48,2022,43047,11364.00,0,,,
48,2023,43047,12108.00,0,,,
48,2015,43048,9098.00,0,,,
48,2016,43048,9454.00,0,,,
48,2017,43048,9959.00,0,,,
48,2018,43048,10477.00,0,,,
48,2019,43048,10860.00,0,,,
48,2020,43048,11098.00,0,,,
48,2021,43048,11216.00,0,,,
48,2022,43048,12232.00,0,,,
48,2023,43048,12631.00,0,,,
48,2015,43049,10503.00,0,,,
48,2016,43049,10595.00,0,,,
48,2017,43049,11279.00,0,,,
48,2018,43049,11762.00,0,,,
48,2019,43049,12607.00,0,,,
48,2020,43049,12793.00,0,,,
48,2021,43049,13558.00,0,,,
48,2022,43049,13906.00,0,,,
48,2023,43049,14686.00,0,,,
48,2015,43050,10674.00,0,,,
48,2016,43050,10715,0,,,
48,2017,43050,11131,0,,,
48,2018,43050,11364,0,,,
48,2019,43050,12152,0,,,
48,2020,43050,12324,0,,,
48,2021,43050,13119,0,,,
48,2022,43050,13679,0,,,
48,2023,43050,14487.00,0,,,
48,2015,43051,10661.00,0,,,
48,2016,43051,10723.00,0,,,
48,2017,43051,11103.00,0,,,
48,2018,43051,11580.00,0,,,
48,2019,43051,11718.00,0,,,
48,2020,43051,12015.00,0,,,
48,2021,43051,12390.00,0,,,
48,2022,43051,12936.00,0,,,
48,2023,43051,14003.00,0,,,
48,2015,43052,10382.00,0,,,
48,2016,43052,10651.00,0,,,
48,2017,43052,10877.00,0,,,
48,2018,43052,10853.00,0,,,
48,2019,43052,11590.00,0,,,
48,2020,43052,11955.00,0,,,
48,2021,43052,12472.00,0,,,
48,2022,43052,12657.00,0,,,
48,2023,43052,13790.00,0,,,
48,2015,43053,11704.00,0,,,
48,2016,43053,11751.00,0,,,
48,2017,43053,11238.00,0,,,
48,2018,43053,11557.00,0,,,
48,2019,43053,12085.00,0,,,
48,2020,43053,12967.00,0,,,
48,2021,43053,13088.00,0,,,
48,2022,43053,14160.00,0,,,
48,2023,43053,15459.00,0,,,
48,2015,43054,11165.00,0,,,
48,2016,43054,11433.00,0,,,
48,2017,43054,11920.00,0,,,
48,2018,43054,12354.00,0,,,
48,2019,43054,13016.00,0,,,
48,2020,43054,13128.00,0,,,
48,2021,43054,13584.00,0,,,
48,2022,43054,14174.00,0,,,
48,2023,43054,14785.00,0,,,
48,2015,43055,11112.00,0,,,
48,2016,43055,11578.00,0,,,
48,2017,43055,11739.00,0,,,
48,2018,43055,12559.00,0,,,
48,2019,43055,13086.00,0,,,
48,2020,43055,13234.00,0,,,
48,2021,43055,13407.00,0,,,
48,2022,43055,14155.00,0,,,
48,2023,43055,15002.00,0,,,
48,2015,43056,10854.00,0,,,
48,2016,43056,10941.00,0,,,
48,2017,43056,11472.00,0,,,
48,2018,43056,11924.00,0,,,
48,2019,43056,11909.00,0,,,
48,2020,43056,12379.00,0,,,
48,2021,43056,12983.00,0,,,
48,2022,43056,13470.00,0,,,
48,2023,43056,14858.00,0,,,
48,2020,43057,16480.00,0,,,
48,2021,43057,17030.00,0,,,
48,2015,43058,10413.00,0,,,
48,2016,43058,9868.00,0,,,
48,2017,43058,10162.00,0,,,
48,2018,43058,11534.00,0,,,
48,2019,43058,10903.00,0,,,
48,2020,43058,11955.00,0,,,
48,2021,43058,12488.00,0,,,
48,2022,43058,12193.00,0,,,
48,2023,43058,12753.00,0,,,
48,2015,43059,14803.00,0,,,
48,2016,43059,11807.00,0,,,
48,2017,43059,12612.00,0,,,
48,2018,43059,13011.00,0,,,
48,2019,43059,14239.00,0,,,
48,2020,43059,14707.00,0,,,
48,2021,43059,15120.00,0,,,
48,2022,43059,15585.00,0,,,
48,2023,43059,18212.00,0,,,
48,2015,43060,13842.00,0,,,
48,2016,43060,13803.00,0,,,
48,2017,43060,14717.00,0,,,
48,2018,43060,15022.00,0,,,
48,2019,43060,15154.00,0,,,
48,2020,43060,14985.00,0,,,
48,2021,43060,15621.00,0,,,
48,2022,43060,15762.00,0,,,
48,2023,43060,17209.00,0,,,
48,2020,43061,16480.00,0,,,
48,2021,43061,17030.00,0,,,
48,2022,43061,17869.00,0,,,
48,2015,43062,9399.00,0,,,
48,2016,43062,9058.00,0,,,
48,2017,43062,10430.00,0,,,
48,2018,43062,10979.00,0,,,
48,2019,43062,11469.00,0,,,
48,2020,43062,11521.00,0,,,
48,2021,43062,13365.00,0,,,
48,2022,43062,12778.00,0,,,
48,2023,43062,13795.00,0,,,
48,2015,43063,8654.00,0,,,
48,2016,43063,8552.00,0,,,
48,2017,43063,9158.00,0,,,
48,2018,43063,9185.00,0,,,
48,2019,43063,9410.00,0,,,
48,2020,43063,10312.00,0,,,
48,2021,43063,10419.00,0,,,
48,2022,43063,11002.00,0,,,
48,2023,43063,11820.00,0,,,
48,2015,43064,10010.00,0,,,
48,2016,43064,10051.00,0,,,
48,2017,43064,10609.00,0,,,
48,2018,43064,11042.00,0,,,
48,2019,43064,11898.00,0,,,
48,2020,43064,11681.00,0,,,
48,2021,43064,12107.00,0,,,
48,2022,43064,12561.00,0,,,
48,2023,43064,13430.00,0,,,
48,2015,43065,9935.00,0,,,
48,2016,43065,10511.00,0,,,
48,2017,43065,11207.00,0,,,
48,2018,43065,11016.00,0,,,
48,2019,43065,11550.00,0,,,
48,2020,43065,12254.00,0,,,
48,2021,43065,12974.00,0,,,
48,2022,43065,12230.00,0,,,
48,2023,43065,13742.00,0,,,
48,2015,43066,11276.00,0,,,
48,2016,43066,11511.00,0,,,
48,2017,43066,12258.00,0,,,
48,2018,43066,13248.00,0,,,
48,2019,43066,14273.00,0,,,
48,2020,43066,14292.00,0,,,
48,2021,43066,14233.00,0,,,
48,2022,43066,15631.00,0,,,
48,2023,43066,17095.00,0,,,
48,2015,43067,9524.00,0,,,
48,2016,43067,9650.00,0,,,
48,2017,43067,10192.00,0,,,
48,2018,43067,10424.00,0,,,
48,2019,43067,11114.00,0,,,
48,2020,43067,11076.00,0,,,
48,2021,43067,11715.00,0,,,
48,2022,43067,12264.00,0,,,
48,2023,43067,13775.00,0,,,
48,2015,43068,8735.00,0,,,
48,2016,43068,8195.00,0,,,
48,2017,43068,9680.00,0,,,
48,2018,43068,10229.00,0,,,
48,2019,43068,10304.00,0,,,
48,2020,43068,10360.00,0,,,
48,2021,43068,10838.00,0,,,
48,2022,43068,11272.00,0,,,
48,2023,43068,12864.00,0,,,
48,2015,43069,10690.00,0,,,
48,2016,43069,11606.00,0,,,
48,2017,43069,11406.00,0,,,
48,2018,43069,11436.00,0,,,
48,2019,43069,12027.00,0,,,
48,2020,43069,12404.00,0,,,
48,2021,43069,13690.00,0,,,
48,2022,43069,14897.00,0,,,
48,2023,43069,15124.00,0,,,
48,2015,43070,11640.00,0,,,
48,2016,43070,11782.00,0,,,
48,2017,43070,12593.00,0,,,
48,2018,43070,13194.00,0,,,
48,2019,43070,13651.00,0,,,
48,2020,43070,14758.00,0,,,
48,2021,43070,13809.00,0,,,
48,2022,43070,15267.00,0,,,
48,2023,43070,16139.00,0,,,
48,2015,43071,9239.00,0,,,
48,2016,43071,9660.00,0,,,
48,2017,43071,9966.00,0,,,
48,2018,43071,10549.00,0,,,
48,2019,43071,10734.00,0,,,
48,2020,43071,11037.00,0,,,
48,2021,43071,11345.00,0,,,
48,2022,43071,11730.00,0,,,
48,2023,43071,12554.00,0,,,
48,2015,43072,10909.00,0,,1,
48,2016,43072,11900.00,0,,1,
48,2017,43072,10354.00,0,,1,
48,2018,43072,11284.00,0,,1,
48,2019,43072,11462.00,0,,1,
48,2020,43072,11057.00,0,,1,
48,2021,43072,11983.00,0,,1,
48,2022,43072,13492.00,0,,1,
48,2023,43072,14435.00,0,,1,
48,2017,43073,12824.00,0,,1,
48,2020,43073,16480.00,0,,,
48,2021,43073,17030.00,0,,,
48,2022,43073,17869.00,0,,,
48,2023,43073,17417.00,0,,,
48,2015,43074,11009.00,0,,,
48,2016,43074,11252.00,0,,,
48,2017,43074,11790.00,0,,,
48,2018,43074,12151.00,0,,,
48,2019,43074,13081.00,0,,,
48,2020,43074,13023.00,0,,,
48,2021,43074,13779.00,0,,,
48,2022,43074,14875.00,0,,,
48,2023,43074,15751.00,0,,,
48,2019,43075,10656.00,0,,,
48,2020,43075,11436.00,0,,,
48,2021,43075,12345.00,0,,,
48,2022,43075,14775.00,0,,,
48,2023,43075,14128.00,0,,,
48,2015,43076,10671.00,0,,,
48,2016,43076,11144.00,0,,,
48,2017,43076,11311.00,0,,,
48,2018,43076,11378.00,0,,,
48,2019,43076,11766.00,0,,,
48,2020,43076,12432.00,0,,,
48,2021,43076,13089.00,0,,,
48,2022,43076,13409.00,0,,,
48,2023,43076,14265.00,0,,,
48,2015,43077,8898.00,0,,,
48,2016,43077,9255.00,0,,,
48,2017,43077,9703.00,0,,,
48,2018,43077,9982.00,0,,,
48,2019,43077,10379.00,0,,,
48,2020,43077,10406.00,0,,,
48,2021,43077,11712.00,0,,,
48,2022,43077,11862.00,0,,,
48,2023,43077,12970.00,0,,,
48,2015,43078,9721.00,0,,,
48,2016,43078,10117.00,0,,,
48,2017,43078,10751.00,0,,,
48,2018,43078,10918.00,0,,,
48,2019,43078,11387.00,0,,,
48,2020,43078,11182.00,0,,,
48,2021,43078,11971.00,0,,,
48,2022,43078,12378.00,0,,,
48,2023,43078,13224.00,0,,,
48,2015,43079,9550.00,0,,,
48,2016,43079,10126.00,0,,,
48,2017,43079,10508.00,0,,,
48,2018,43079,11368.00,0,,,
48,2019,43079,11920.00,0,,,
48,2020,43079,12410.00,0,,,
48,2021,43079,12311.00,0,,,
48,2022,43079,13185.00,0,,,
48,2023,43079,13686.00,0,,,
48,2015,43080,12479.00,0,,,
48,2016,43080,14192.00,0,,,
48,2017,43080,13327.00,0,,,
48,2018,43080,13520.00,0,,,
48,2019,43080,14488.00,0,,,
48,2020,43080,14220.00,0,,,
48,2021,43080,14043.00,0,,,
48,2022,43080,15760.00,0,,,
48,2023,43080,15539.00,0,,,
48,2015,43081,11544.00,0,,,
48,2016,43081,12195.00,0,,,
48,2017,43081,12106.00,0,,,
48,2018,43081,13010.00,0,,,
48,2019,43081,13403.00,0,,,
48,2020,43081,14085.00,0,,,
48,2021,43081,14803.00,0,,,
48,2022,43081,15773.00,0,,,
48,2023,43081,16180.00,0,,,
48,2015,43082,10488.00,0,,,
48,2016,43082,10175.00,0,,,
48,2017,43082,10944.00,0,,,
48,2018,43082,11128.00,0,,,
48,2019,43082,11820.00,0,,,
48,2020,43082,11117.00,0,,,
48,2021,43082,11460.00,0,,,
48,2022,43082,12325.00,0,,,
48,2023,43082,13319.00,0,,,
48,2015,43083,10743.00,0,,,
48,2016,43083,10563.00,0,,,
48,2017,43083,11157.00,0,,,
48,2018,43083,11319.00,0,,,
48,2019,43083,12296.00,0,,,
48,2020,43083,12106.00,0,,,
48,2021,43083,12572.00,0,,,
48,2022,43083,13268.00,0,,,
48,2023,43083,14072.00,0,,,
48,2015,43084,9855.00,0,,,
48,2016,43084,10019.00,0,,,
48,2017,43084,10206.00,0,,,
48,2018,43084,10717.00,0,,,
48,2019,43084,10916.00,0,,,
48,2020,43084,11164.00,0,,,
48,2021,43084,12648.00,0,,,
48,2022,43084,12812.00,0,,,
48,2023,43084,13830.00,0,,,
48,2015,43085,11049.00,0,,,
48,2016,43085,11320.00,0,,,
48,2017,43085,11339.00,0,,,
48,2018,43085,11976.00,0,,,
48,2019,43085,13292.00,0,,,
48,2020,43085,13383.00,0,,,
48,2021,43085,13592.00,0,,,
48,2022,43085,13325.00,0,,,
48,2023,43085,14555.00,0,,,
48,2015,43086,11844.00,0,,,
48,2016,43086,12042.00,0,,,
48,2017,43086,12743.00,0,,,
48,2018,43086,13234.00,0,,,
48,2019,43086,13678.00,0,,,
48,2020,43086,13743.00,0,,,
48,2021,43086,14230.00,0,,,
48,2022,43086,14928.00,0,,,
48,2023,43086,16054.00,0,,,
48,2015,43088,10896.00,0,,,
48,2016,43088,11302.00,0,,,
48,2017,43088,11461.00,0,,,
48,2018,43088,11899.00,0,,,
48,2019,43088,12754.00,0,,,
48,2020,43088,12717.00,0,,,
48,2021,43088,13185.00,0,,,
48,2022,43088,13802.00,0,,,
48,2023,43088,14586.00,0,,,
48,2015,43089,9320.00,0,,,
48,2016,43089,10896.00,0,,,
48,2017,43089,10619.00,0,,,
48,2018,43089,10296.00,0,,,
48,2019,43089,11843.00,0,,,
48,2020,43089,10839.00,0,,,
48,2021,43089,11458.00,0,,,
48,2022,43089,12732.00,0,,,
48,2023,43089,13895.00,0,,,
48,2015,43090,8793.00,0,,,
48,2016,43090,9194.00,0,,,
48,2017,43090,9456.00,0,,,
48,2018,43090,10028.00,0,,,
